Function	File	Description	Link	
findneighborabund	spatial/quadfunc.r	For every quadrat, finds neighborin...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/findneighborabund'>Help</a>	
fit.beta.normal	utilities/distributions.r	Finding a normal distribution which...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/fit.beta.normal'>Help</a>	
fit.logistic	utilities/distributions.r	A function to fit a set of data y, ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/fit.logistic'>Help</a>	
fit.pdf	utilities/distributions.r	Fit a random variable x to any subm...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/fit.pdf'>Help</a>	
fitnorm	utilities/distributions.r	Fitting a normal distribution to da...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/fitnorm'>Help</a>	
fitSeveralAbundModel	demogchange/abund.fit.CTFS.r	Run model.littleR.Gibbs for a serie...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/fitSeveralAbundModel'>Help</a>	
fromjulian	utilities/utilities.r	Accepts a julian date and returns a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/fromjulian'>Help</a>	
full.abundmodel.llike	demogchange/abund.fit.CTFS.r	With the table of abundances, hyper...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/full.abundmodel.llike'>Help</a>	
full.likelihood.lmerBayes	utilities/lmerBayes.r	Calculate full likelihood for any c...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/full.likelihood.lmerBayes'>Help</a>	
full.xygrid	spatial/quadfunc.r	Create a complete of points x-y, gi...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/full.xygrid'>Help</a>	
fullcircle	utilities/geometry.r	Create a dataframe for a full circl...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/fullcircle'>Help</a>	
fullellipse	utilities/geometry.r	Creates a dataframe for a full elli...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/fullellipse'>Help</a>	
fullplot.imageJ	topography/imageJ.r	Reads quadrat maps created by image...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~imageJ.r/fullplot.imageJ'>Help</a>	
get.filename	map/map.r	This sets a name for outputting a m...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~map.r/get.filename'>Help</a>	
getquadratname	spatial/quadfunc.r	Convert x, y coordinates and plot d...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/getquadratname'>Help</a>	
getsmallerquads	spatial/quadfunc.r	Takes a vector of indices for a lar...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/getsmallerquads'>Help</a>	
getTopoLinks	topography/solvetopo.r	This is solely for use by solve.top...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~solvetopo.r/getTopoLinks'>Help</a>	
Gibbs.normalmean	utilities/statistics.r	The standard Gibbs sampler for a no...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/Gibbs.normalmean'>Help</a>	
Gibbs.normalvar	utilities/statistics.r	Gibbs draw for the variance of a no...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/Gibbs.normalvar'>Help</a>	
Gibbs.regsigma	utilities/statistics.r	Updates the regression standard dev...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/Gibbs.regsigma'>Help</a>	
Gibbs.regslope	utilities/statistics.r	Updates the regression slope (used ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/Gibbs.regslope'>Help</a>	
graph.abundmodel	demogchange/abund.fit.CTFS.r	Output histograms of little.r acros...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/graph.abundmodel'>Help</a>	
graph.growthmodel	growth/growthfit.graph.r	Graph growth rates and model fit....	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.graph.r/graph.growthmodel'>Help</a>	
graph.growthmodel.spp	growth/growthfit.graph.r	Use output of growth.flexbin to gra...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.graph.r/graph.growthmodel.spp'>Help</a>	
graph.modeldiag	utilities/statistics.r	Graph diagnostics of model.xy...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/graph.modeldiag'>Help</a>	
graph.mvnorm	utilities/distributions.r	Graphs contours for an mvnorm, with...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/graph.mvnorm'>Help</a>	
graph.outliers	growth/growthfit.graph.r	Graph the outliers overlaid on the ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.graph.r/graph.outliers'>Help</a>	
graph.outliers.spp	growth/growthfit.graph.r	Pass the output of extract.growth w...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.graph.r/graph.outliers.spp'>Help</a>	
graph.quadrats	speciesarea/spparea.r	Make a graph of a series of quadrat...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/speciesarea~slash~spparea.r/graph.quadrats'>Help</a>	
graphFilledBand	utilities/utilities.r	Fill the area between two curves on...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/graphFilledBand'>Help</a>	
growth	growth/growth.r	The principle growth function, cons...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growth.r/growth'>Help</a>	
growth.biomass.indiv	growth/growth.r	Like growth.indiv but based on agb ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growth.r/growth.biomass.indiv'>Help</a>	
growth.dbh	growth/growth.r	This calculates forest-wide growth ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growth.r/growth.dbh'>Help</a>	
growth.eachspp	growth/growth.r	This calculates growth for each spe...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growth.r/growth.eachspp'>Help</a>	
growth.flexbin	growth/growthfit.bin.r	Fitting a regression line through l...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/growth.flexbin'>Help</a>	
growth.indiv	growth/growth.r	This returns a complete table with ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growth.r/growth.indiv'>Help</a>	
gsp	utilities/utilities.r	Returns one of the objects at a giv...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/gsp'>Help</a>	
gxgy.to.hectindex	spatial/quadfunc.r	...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/gxgy.to.hectindex'>Help</a>	
gxgy.to.index	spatial/quadfunc.r	Assign any location(s) a single ind...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/gxgy.to.index'>Help</a>	
gxgy.to.lxly	spatial/quadfunc.r	Given global coordinates and quadra...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/gxgy.to.lxly'>Help</a>	
gxgy.to.quad	spatial/quadfunc.r	Calculate a quadrat name (column nu...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/gxgy.to.quad'>Help</a>	
gxgy.to.rowcol	spatial/quadfunc.r	Returns row and column for any set ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/gxgy.to.rowcol'>Help</a>	
harmonic.mean	utilities/statistics.r	Harmonic mean of a vector x. NAs an...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/harmonic.mean'>Help</a>	
hist.compare	utilities/statistics.r	Compares two histograms with a Kolm...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/hist.compare'>Help</a>	
hyper.abundGibbs	demogchange/abund.fit.CTFS.r	Likelihood function for hyperparame...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/hyper.abundGibbs'>Help</a>	
hyper.mortGibbs	demogchange/abund.fit.CTFS.r	Likelihood function for logMu and l...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/hyper.mortGibbs'>Help</a>	
IfElse	utilities/utilities.r	A more convenient version of the R ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/IfElse'>Help</a>	
image.dataframe	map/mapresponse.r	Creates a color response map based ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~mapresponse.r/image.dataframe'>Help</a>	
imageGraph	map/mapresponse.r	Maps a response variable with R's c...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~mapresponse.r/imageGraph'>Help</a>	
imageJ.to.lxly	topography/imageJ.r	Convert map pixels from digitzing p...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~imageJ.r/imageJ.to.lxly'>Help</a>	
index.to.gxgy	spatial/quadfunc.r	Calculate the x and y coordinates g...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/index.to.gxgy'>Help</a>	
index.to.rowcol	spatial/quadfunc.r	Calculate the row and column given ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/index.to.rowcol'>Help</a>	
individual_grow.table	demogchange/demogChange.r	Create a table of individual trees ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~demogChange.r/individual_grow.table'>Help</a>	
individual_mort.table	demogchange/demogChange.r	Create a table of individual trees ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~demogChange.r/individual_mort.table'>Help</a>	
inside.rect	utilities/geometry.r	Determines whether any of the 4 cor...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/inside.rect'>Help</a>	
insideRectangle	utilities/geometry.r	Checks a vector of coordinates x, y...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/insideRectangle'>Help</a>	
intersection.line.curve	utilities/geometry.r	Finds the points where a straight l...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/intersection.line.curve'>Help</a>	
intersection.of.lines	utilities/geometry.r	Finds the point where 2 lines inter...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/intersection.of.lines'>Help</a>	
invlogit	utilities/distributions.r	Inverse logit transformation, turns...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/invlogit'>Help</a>	
is.between	utilities/geometry.r	Check whether a point x,y falls bet...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/is.between'>Help</a>	
is.leap	utilities/utilities.r	Return a logical indicating which e...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/is.leap'>Help</a>	
is.odd	utilities/statistics.r	A trivial function to test whether ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/is.odd'>Help</a>	
ispt.inside	utilities/geometry.r	Check a single pt (x and y) against...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/ispt.inside'>Help</a>	
left	utilities/utilities.r	A standard left function. Returns t...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/left'>Help</a>	
leftbut	utilities/utilities.r	Returns the leftmost characters of ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/leftbut'>Help</a>	
line.intersection.pts	utilities/geometry.r	Finds the point where 2 lines inter...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/line.intersection.pts'>Help</a>	
linear.model	utilities/distributions.r	A simple linear model, where the fi...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/linear.model'>Help</a>	
linear.model.ctr	utilities/distributions.r	A simple linear model, where the fi...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/linear.model.ctr'>Help</a>	
linear.mortmodel	utilities/distributions.r	A model for mortality as a function...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/linear.mortmodel'>Help</a>	
linearmodel.bin	utilities/distributions.r	Multiple bin model predicting y as ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/linearmodel.bin'>Help</a>	
linearmodel.bin.set	utilities/distributions.r	This does the work of calculating p...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/linearmodel.bin.set'>Help</a>	
llike.GaussModel	utilities/statistics.r	This is for model.xy. It takes the ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/llike.GaussModel'>Help</a>	
llike.GaussModelSD	utilities/statistics.r	This is for model.xy. Take the func...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/llike.GaussModelSD'>Help</a>	
llike.linearbin.optim	growth/growthfit.bin.r	This is for optim, a single functio...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/llike.linearbin.optim'>Help</a>	
llike.model.lmer	utilities/lmerBayes.r	A llikelihood function for one set ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/llike.model.lmer'>Help</a>	
llike.model.lmer	utilities/lmerBayes.r	A llikelihood function for one set ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/llike.model.lmer'>Help</a>	
lmerBayes	utilities/lmerBayes.r	A Metropolis MCMC version of lmer. ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/lmerBayes'>Help</a>	
lmerBayes.hyperllike.mean	utilities/lmerBayes.r	This is the hyper-likelihood for up...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/lmerBayes.hyperllike.mean'>Help</a>	
lmerBayes.hyperllike.sigma	utilities/lmerBayes.r	This is the hyper-likelihood for up...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/lmerBayes.hyperllike.sigma'>Help</a>	
lmerMortFixedTime	demogchange/demogChange.r	A model for mortality as a function...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~demogChange.r/lmerMortFixedTime'>Help</a>	
lmerMortLinear	demogchange/demogChange.r	A linear model of an annual mortali...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~demogChange.r/lmerMortLinear'>Help</a>	
load.species	utilities/utilitiesCTFS.r	A function for extracting a single ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilitiesCTFS.r/load.species'>Help</a>	
log.model	utilities/distributions.r	Logarithmic model, y = a + b1 log(x...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/log.model'>Help</a>	
logical.grep	utilities/utilities.r	A form of grep returning logical in...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/logical.grep'>Help</a>	
logistic.ctr	utilities/distributions.r	This is logistic function with inte...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/logistic.ctr'>Help</a>	
logistic.inter	utilities/distributions.r	Logistic function with intercept pa...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/logistic.inter'>Help</a>	
logistic.multiplicative	utilities/distributions.r	Logistic with a pair of parameters ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/logistic.multiplicative'>Help</a>	
logistic.power	utilities/distributions.r	This is the Gaussian logistic funct...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/logistic.power'>Help</a>	
logistic.power.mode	utilities/distributions.r	This is the Gaussian logistic funct...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/logistic.power.mode'>Help</a>	
logistic.power_simple	utilities/distributions.r	This is a mixture of logistic and l...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/logistic.power_simple'>Help</a>	
logistic.standard	utilities/distributions.r	This is standard logistic function,...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/logistic.standard'>Help</a>	
logistic.sum.squares	utilities/distributions.r	Sets a prediction based on a genera...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/logistic.sum.squares'>Help</a>	
logisticmodel.bin	utilities/distributions.r	Multiple bin model predicting y as ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/logisticmodel.bin'>Help</a>	
logit	utilities/distributions.r	Logit transformation for a probabil...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/logit'>Help</a>	
lxly.to.p5	spatial/quadfunc.r	Given local, or  within-quadrat, co...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/lxly.to.p5'>Help</a>	
majoraxisreg	utilities/statistics.r	A major axis regression with parame...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/majoraxisreg'>Help</a>	
majoraxisreg.no.int	utilities/statistics.r	Major axis regression with no inter...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/majoraxisreg.no.int'>Help</a>	
make.CredIntervalVect	utilities/utilities.r	Take a vector y having mean then lo...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/make.CredIntervalVect'>Help</a>	
map	map/map.r	Function to draw map of one or more...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~map.r/map'>Help</a>	
map1species	map/map.r	This does the mapping for a single ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~map.r/map1species'>Help</a>	
map2species	map/map.r	Map 2 species to a 2-panel pdf. Two...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~map.r/map2species'>Help</a>	
maptopo	map/map.r	Draws contours on a plot map. Elevm...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~map.r/maptopo'>Help</a>	
match.dataframe	utilities/utilities.r	Matches two dataframes using two or...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/match.dataframe'>Help</a>	
merge.data	utilities/utilities.r	Combine many dataframes as elements...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/merge.data'>Help</a>	
mergeParam	utilities/utilities.r	Merges a list of parameter matrices...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/mergeParam'>Help</a>	
metrop1step	utilities/statistics.r	Takes a single metropolis step on a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/metrop1step'>Help</a>	
metrop1step.discrete	utilities/statistics.r	A version for metrop1step where the...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/metrop1step.discrete'>Help</a>	
midPoint	utilities/statistics.r	Midpoint of any vector....	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/midPoint'>Help</a>	
minum.beta.normal	utilities/distributions.r	Function to be minimized for fittin...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/minum.beta.normal'>Help</a>	
minum.mixnorm	utilities/distributions.r	Fit a mixture of 2 normals....	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/minum.mixnorm'>Help</a>	
minum.normal	utilities/distributions.r	The likelihood function for use by ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/minum.normal'>Help</a>	
minum.perpdist	utilities/statistics.r	The sum of squares used by majoraxi...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/minum.perpdist'>Help</a>	
model.littleR.Gibbs	demogchange/abund.fit.CTFS.r	The main function for fitting the p...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/model.littleR.Gibbs'>Help</a>	
model.xy	utilities/statistics.r	Generic Bayesian routine for fittin...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/model.xy'>Help</a>	
modelBayes	utilities/modelBayes.r	A Metropolis MCMC version for any m...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~modelBayes.r/modelBayes'>Help</a>	
mortality	mortality/mortality.r	Mortality is the main function, and...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/mortality~slash~mortality.r/mortality'>Help</a>	
mortality.calculation	mortality/mortality.r	This is the calculation of mortalit...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/mortality~slash~mortality.r/mortality.calculation'>Help</a>	
mortality.dbh	mortality/mortality.r	Calculate forest-wide mortality in ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/mortality~slash~mortality.r/mortality.dbh'>Help</a>	
mortality.eachspp	mortality/mortality.r	Calculate mortality for each specie...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/mortality~slash~mortality.r/mortality.eachspp'>Help</a>	
mvrnormRC	utilities/distributions.r	Function that takes a variance-cova...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/mvrnormRC'>Help</a>	
NDcount	spatial/NeighborDensityFun.r	Calculates the count of neighbors w...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~NeighborDensityFun.r/NDcount'>Help</a>	
NeighborDensities	spatial/NeighborDensityFun.r	Calculates the total number or basa...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~NeighborDensityFun.r/NeighborDensities'>Help</a>	
neighbors	spatial/quadfunc.r	Finds proportion of neighboring qua...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/neighbors'>Help</a>	
nhd	utilities/utilities.r	A version of head with only 6 colum...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/nhd'>Help</a>	
normalproduct	utilities/distributions.r	A function which returns the produc...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/normalproduct'>Help</a>	
order.by.rowcol	utilities/utilities.r	Reorder rows and columns of a matri...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/order.by.rowcol'>Help</a>	
order.bynumber	utilities/utilities.r	Returns ordering of a character vec...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/order.bynumber'>Help</a>	
overlay.growthbinmodel	growth/growthfit.graph.r	Show model fits for 1, 2, 3, and 4 ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.graph.r/overlay.growthbinmodel'>Help</a>	
parallel.line	utilities/geometry.r	Finds the slope and intercept of th...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/parallel.line'>Help</a>	
partialcirclearea	spatial/RipUvK.r	Calculates the area of a circle of ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~RipUvK.r/partialcirclearea'>Help</a>	
pdf.allplot	map/map.r	Export a pdf with one or more speci...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~map.r/pdf.allplot'>Help</a>	
perpendicular.distance	utilities/geometry.r	Distance from a point to a line (so...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/perpendicular.distance'>Help</a>	
perpendicular.line	utilities/geometry.r	Finds the slope and intercept of th...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/perpendicular.line'>Help</a>	
pexp.sin	utilities/distributions.r	CDF of four-parameter exponential s...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/pexp.sin'>Help</a>	
plot.wavelet	spatial/block.analysis.r	Function to plot the wavelet varian...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~block.analysis.r/plot.wavelet'>Help</a>	
png.allplot	map/map.r	Export species maps as png. There w...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~map.r/png.allplot'>Help</a>	
polar.to.cartesian	utilities/geometry.r	Convert polar coordinates to Cartes...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/polar.to.cartesian'>Help</a>	
pop.change	abundance/abundance.r	Finds abundance, basal area, or agb...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/abundance~slash~abundance.r/pop.change'>Help</a>	
pop.change.dbh	abundance/abundance.r	Finds abundance or basal area in tw...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/abundance~slash~abundance.r/pop.change.dbh'>Help</a>	
pospower	utilities/distributions.r	Raise to any power, but with negati...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/pospower'>Help</a>	
